, UID       , Nat       , 2nd Nat   , Name                                  ,           ,           ,           ,
, 2002236687, SCO       ,           , Stuart MacLennan                      , 1         , 2         , 0         ,
, 2002236686, SCO       ,           , Neil Marshall                         , 1         , 3         , 0         ,
, 2002236685, SCO       ,           , Calvin Linton                         , 1         , 9         , 0         ,
, 2002236684, SCO       ,           , Mikey McNiven                         , 1         , 14        , 0         ,
, 2002236683, SCO       ,           , David Morris                          , 1         , 8         , 0         ,
, 2002236682, SCO       , IRL       , Brian Madden                          , 2         , 7         , 0         ,
, 2002236681, NIR       , IRL       , James Butler                          , 1         , 1         , 0         ,
, 2002236680, NIR       ,           , Tom Hutchinson                        , 1         , 14        , 0         ,
, 2002236679, NIR       , IRL       , Ciaran Phelan                         , 3         , 10        , 0         ,
, 2002236678, NIR       ,           , Corin McIlhagga                       , 1         , 3         , 0         ,
, 2002236677, NIR       ,           , Cody Magilton                         , 3         , 11        , 0         ,
, 2002236676, NIR       , IRL       , Matt Dooley                           , 2         , 2         , 0         ,
, 2002236675, TUR       , GER       , İsa Morgil                            , 2         , 12        , 1         ,
, 2002236674, GER       ,           , Romario Hardung                       , 3         , 3         , 0         ,
, 2002236673, GER       , GRE       , Dimitris Paterakis                    , 1         , 5         , 1         ,
, 2002236672, GER       ,           , Til Schacht                           , 2         , 11        , 0         ,
, 2002236671, GER       , TUR       , Mesut Nalbant                         , 2         , 15        , 2         ,
, 2002236670, GER       , ESP       , José Antonio Costa                    , 3         , 16        , 1         ,
, 2002236669, GER       ,           , Justin Brombacher                     , 2         , 8         , 0         ,
, 2002236668, GER       , TUR       , Tekin Yıldırım                        , 1         , 11        , 2         ,
, 2002236667, GER       ,           , Ken Horneff                           , 2         , 11        , 0         ,
, 2002236666, GER       , POR       , Vítor Teixeira                        , 3         , 16        , 3         ,
, 2002236665, GER       ,           , Sebastian Bamert                      , 2         , 12        , 0         ,
, 2002236664, GER       , ITA       , Riccardo Argenio                      , 1         , 16        , 1         ,
, 2002236663, GER       ,           , Marco Krause                          , 2         , 9         , 0         ,
, 2002236662, GER       ,           , Patrick Hollerbach                    , 1         , 11        , 0         ,
, 2002236661, GER       , KOS       , Lirik Hoxha                           , 1         , 3         , 0         ,
, 2002236660, CRO       , GER       , Vito Šusterajter                      , 2         , 1         , 0         ,
, 2002236659, GER       ,           , Heiko Zimmermann                      , 2         , 10        , 0         ,
, 2002236658, GER       ,           , Stephan Ebert                         , 3         , 3         , 0         ,
, 2002236657, GER       , PER       , Aaron Pozsgai                         , 1         , 5         , 7         ,
, 2002236656, GER       ,           , Philipp Aulinger                      , 1         , 9         , 0         ,
, 2002236655, GER       , ESP       , Federico Luque                        , 1         , 15        , 2         ,
, 2002236654, GER       ,           , Samuel Quarshie                       , 1         , 5         , 3         ,
, 2002236653, FRA       ,           , José Galmiche                         , 2         , 10        , 0         ,
, 2002236652, FRA       , ALG       , Khaled Biskri                         , 1         , 16        , 2         ,
, 2002236651, FRA       ,           , Nabil Lesueur                         , 2         , 11        , 0         ,
, 2002236650, FRA       ,           , Florian Baptiste                      , 2         , 3         , 0         ,
, 2002236649, FRA       , REU       , Ryan Guichard                         , 3         , 5         , 3         ,
, 2002236648, FRA       , ESP       , Aurelio Gómez                         , 1         , 11        , 1         ,
, 2002236647, FRA       , ALG       , Ali Arab                              , 3         , 15        , 2         ,
, 2002236646, FRA       ,           , Gabin Lavigne                         , 2         , 16        , 1         ,
, 2002236645, FRA       ,           , Ronald Coquin                         , 1         , 11        , 0         ,
, 2002236644, IRL       ,           , Jack McGregor                         , 3         , 11        , 0         ,
, 2002236643, ENG       , IRL       , Simon Landers                         , 1         , 2         , 0         ,
, 2002236642, WAL       ,           , Nicky Fuller                          , 1         , 16        , 0         ,
, 2002236641, ENG       ,           , Joe Maggs                             , 1         , 5         , 0         ,
, 2002236640, ENG       , IRL       , Tom Wilson                            , 1         , 5         , 3         ,
, 2002236639, ENG       , NIR       , Johnny Forsythe                       , 1         , 3         , 0         ,
, 2002236638, ENG       , SCO       , Alistair Halliday                     , 1         , 12        , 0         ,
, 2002236461, NED       , GER       , Oberson Roskam                        , 1         , 16        , 3         ,
, 2002236460, GER       ,           , Danny Gebauer                         , 1         , 5         , 0         ,
, 2002236459, DEN       , GER       , Henrik Nyegaard                       , 1         , 10        , 0         ,
, 2002236458, GER       ,           , Hanns-Jörg Dosedal                    , 1         , 3         , 0         ,
, 2002236457, GER       , ITA       , Tommaso Guida                         , 2         , 12        , 1         ,
, 2002236456, GER       , TUR       , Nihat Sevinç                          , 2         , 12        , 1         ,
, 2002236455, GER       ,           , Hajo Adamski                          , 3         , 11        , 0         ,
, 2002236454, GER       ,           , Marcus Buchmann                       , 2         , 1         , 0         ,
, 2002236453, AZE       , GER       , Mehman Rəhimov                        , 1         , 11        , 1         ,
, 2002236452, GER       ,           , Nico Budde                            , 2         , 11        , 0         ,
, 2002236451, GER       ,           , Arne Woitina                          , 3         , 12        , 0         ,
, 2002236450, GER       ,           , Tom Henkel                            , 2         , 7         , 0         ,
, 2002236449, GER       , ROU       , Vasilică Oprea                        , 1         , 15        , 1         ,
, 2002236448, GER       , NGA       , Chinedu Nwafor                        , 3         , 5         , 3         ,
, 2002236447, GER       ,           , Nico Fluck                            , 1         , 12        , 0         ,
, 2002236446, AFG       , GER       , Ahmadi Saadat                         , 2         , 16        , 2         ,
, 2002236445, FRA       ,           , Ludovic Vallee                        , 1         , 7         , 0         ,
, 2002236444, FRA       ,           , Noah Lejeune                          , 3         , 5         , 0         ,
, 2002236443, FRA       ,           , Christophe Reymond                    , 1         , 1         , 0         ,
, 2002236442, FRA       ,           , Roger Ollivier                        , 1         , 5         , 1         ,
, 2002236441, FRA       ,           , Mickaël Allibert                      , 2         , 11        , 0         ,
, 2002236440, FRA       ,           , Aurélien Pelletier                    , 2         , 3         , 0         ,
, 2002236439, POR       , CPV       , Fredson Andrade                       , 3         , 15        , 9         ,
, 2002236438, MAR       , FRA       , Nassim El Yousfi                      , 1         , 16        , 2         ,
, 2002236437, FRA       ,           , Yann Boicherot-Diaz                   , 1         , 3         , 1         ,
, 2002236399, GER       ,           , Maximilian Albrings                   , 1         , 2         , 0         ,
, 2002236398, GER       ,           , Sascha Nowakowski                     , 1         , 3         , 0         ,
, 2002236397, GER       ,           , Jannik Dulleck                        , 2         , 3         , 0         ,
, 2002236396, GER       , TUR       , Hakan İnal                            , 1         , 11        , 1         ,
, 2002236395, GER       , LUX       , Gérard Dragolovcanin                  , 1         , 10        , 0         ,
, 2002236394, GER       ,           , Tim Hölzel                            , 1         , 7         , 0         ,
, 2002236393, GER       , UKR       , Igor Zaitsev                          , 1         , 16        , 0         ,
, 2002236392, GER       ,           , Adrian Bangsow                        , 1         , 12        , 0         ,
, 2002236391, GER       , GRE       , Vasilis Kourkoulis                    , 3         , 11        , 1         ,
, 2002236390, BIH       , GER       , Kenin Nuhanović                       , 2         , 10        , 0         ,
, 2002236389, AUT       , GER       , Lorenz Sulzner                        , 2         , 12        , 0         ,
, 2002236388, GER       ,           , Oliver Adelhoefer                     , 1         , 9         , 0         ,
, 2002236387, GER       ,           , Maik Spitzer                          , 2         , 2         , 0         ,
, 2002236386, GER       , ESP       , Darío Cobo                            , 2         , 2         , 0         ,
, 2002236385, BIH       , GER       , Dino Cakic                            , 2         , 9         , 0         ,
, 2002236384, GER       ,           , Frank Holzer                          , 3         , 3         , 0         ,
, 2002236383, TUN       , GER       , Mohamed Hamidi                        , 1         , 3         , 2         ,
, 2002236382, FRA       , COD       , Guychel Kasongo                       , 1         , 5         , 3         ,
, 2002236381, FRA       ,           , Jean-Michel Cisse                     , 2         , 3         , 0         ,
, 2002236380, ESP       ,           , José Carlos                           , 1         , 16        , 3         ,
, 2002236379, FRA       , ETH       , Anteneh Regassa                       , 1         , 5         , 3         ,
, 2002236378, FRA       ,           , Geoffrey Pierson                      , 2         , 3         , 0         ,
, 2002236377, FRA       ,           , Logan Ricard                          , 2         , 16        , 1         ,
, 2002236376, FRA       , CGO       , Trésor Nsungu                         , 1         , 15        , 3         ,
, 2002236374, GER       ,           , Florian Meyer                         , 2         , 8         , 0         ,
, 2002236373, GER       ,           , Hagen Lindner                         , 1         , 3         , 0         ,
, 2002236372, GER       ,           , Marvin Popp                           , 3         , 13        , 0         ,
, 2002236371, GER       ,           , Ulrich Spang                          , 1         , 15        , 0         ,
, 2002236370, GER       ,           , Adrian Maier                          , 2         , 12        , 0         ,
, 2002236369, GER       ,           , Peter Escher                          , 1         , 5         , 0         ,
, 2002236368, GER       ,           , Helge Beiersdorf                      , 1         , 3         , 0         ,
, 2002236367, GER       , SRB       , Miloš Filipović                       , 1         , 15        , 1         ,
, 2002236366, GER       , TUR       , Alperen Sert                          , 2         , 5         , 0         ,
, 2002236365, GER       ,           , Thomas Engelhardt                     , 1         , 2         , 0         ,
, 2002236364, SVN       , GER       , Žan Bokal                             , 1         , 7         , 0         ,
, 2002236363, GER       ,           , Moritz Enzmann                        , 2         , 10        , 0         ,
, 2002236362, GER       ,           , Finn Fein                             , 1         , 12        , 0         ,
, 2002236361, AUT       , GER       , Justin Weger                          , 2         , 2         , 0         ,
, 2002236360, GER       ,           , Nils Krüger                           , 1         , 2         , 0         ,
, 2002236359, GER       ,           , Nico Zimmermann                       , 3         , 9         , 0         ,
, 2002236358, ROU       , GER       , Aurel Ghenov                          , 3         , 16        , 1         ,
, 2002236357, FRA       ,           , Julien Hauchecorne                    , 3         , 3         , 0         ,
, 2002236356, KOS       ,           , Ardian Ibraimi                        , 1         , 12        , 0         ,
, 2002236355, FRA       ,           , Yann Teixeira                         , 1         , 5         , 1         ,
, 2002236354, NIG       , FRA       , Abdoulaye Bachar                      , 2         , 16        , 3         ,
, 2002236353, FRA       ,           , Marcel Labourdette                    , 3         , 16        , 1         ,
, 2002236352, POR       , FRA       , Rogério Pargana                       , 1         , 5         , 1         ,
, 2002236351, FRA       , COD       , Vivaldy Omeonga                       , 1         , 5         , 3         ,
, 2002236350, CMR       , FRA       , Elvis Elombo Embe                     , 3         , 16        , 3         ,
, 2002236349, FRA       ,           , Moritz Gillet                         , 1         , 11        , 0         ,
, 2002236347, GER       ,           , Fred-Werner Knappmann                 , 2         , 5         , 0         ,
, 2002236346, GER       , ENG       , Dan Salmon                            , 3         , 9         , 0         ,
, 2002236345, GER       ,           , Martin Eisfeld                        , 1         , 9         , 0         ,
, 2002236344, GER       ,           , Frank Struck                          , 2         , 2         , 0         ,
, 2002236343, USA       , GER       , Mike Campbell                         , 2         , 16        , 3         ,
, 2002236342, GER       , TUR       , Samet Kurt                            , 1         , 16        , 1         ,
, 2002236341, GER       ,           , Frank Rasiejewski                     , 2         , 11        , 0         ,
, 2002236340, GER       ,           , Florian Kunert                        , 3         , 8         , 0         ,
, 2002236339, GER       ,           , Nico Schmidt                          , 2         , 1         , 0         ,
, 2002236338, AUS       , GER       , Chris Payne                           , 1         , 1         , 0         ,
, 2002236337, GER       , USA       , Josh Rodriguez                        , 2         , 4         , 0         ,
, 2002236336, GER       ,           , Reinhard Weusthoff                    , 1         , 12        , 0         ,
, 2002236335, GRE       , GER       , Andreas Ntabos                        , 2         , 3         , 1         ,
, 2002236334, BRA       , GER       , Getúlio Vargas                        , 1         , 12        , 1         ,
, 2002236333, GER       ,           , Bernard Musculus                      , 1         , 3         , 0         ,
, 2002236332, FRA       ,           , Jean Donsimoni                        , 1         , 5         , 2         ,
, 2002236331, FRA       , SEN       , Babacar Diallo                        , 1         , 5         , 3         ,
, 2002236330, BRA       ,           , Aloísio                               , 1         , 15        , 1         ,
, 2002236329, FRA       ,           , Cyril Gaudin                          , 3         , 2         , 0         ,
, 2002236328, FRA       ,           , Maxence Bordas                        , 1         , 3         , 0         ,
, 2002236327, FRA       ,           , Jean-Noël Thuillier                   , 1         , 10        , 0         ,
, 2002236326, FRA       , ALB       , Arb Mazreku                           , 1         , 16        , 1         ,
, 2002236323, TUR       ,           , Eralp Başıbüyük                       , 3         , 3         , 0         ,
, 2002236322, TUR       ,           , Abdussamet Şenkardeş                  , 3         , 11        , 1         ,
, 2002236321, TUR       , AUT       , Abdullah Yılmaz                       , 1         , 12        , 1         ,
, 2002236320, TUR       ,           , Sinan Erarslan                        , 3         , 10        , 0         ,
, 2002236319, TUR       ,           , Müjdat Kurt                           , 3         , 15        , 2         ,
, 2002236318, TUR       ,           , Ender Köse                            , 2         , 12        , 1         ,
, 2002236317, TUR       ,           , Çağrı Varol                           , 3         , 16        , 2         ,
, 2002236316, TUR       , AUT       , Hüseyin Güleç                         , 1         , 12        , 1         ,
, 2002236315, TUR       ,           , Murat Güler                           , 2         , 3         , 0         ,
, 2002236314, TUR       ,           , Cihangir Tosun                        , 2         , 5         , 2         ,
, 2002236313, TUR       ,           , Ümmet Kuşhan                          , 3         , 15        , 2         ,
, 2002236312, ISR       ,           , Lior Moshe                            , 1         , 16        , 1         ,
, 2002236311, ISR       ,           , Yarin Ifrach                          , 3         , 5         , 2         ,
, 2002236310, ISR       ,           , Ariel Bitan                           , 2         , 15        , 2         ,
, 2002236309, ISR       ,           , Shmulik Mishraki                      , 2         , 5         , 3         ,
, 2002236308, HUN       ,           , Elek Szabó                            , 1         , 3         , 0         ,
, 2002236307, HUN       ,           , Attila Lázár                          , 3         , 3         , 0         ,
, 2002236306, HUN       ,           , László Szőts                          , 2         , 9         , 0         ,
, 2002236305, HUN       ,           , Máté Horváth                          , 1         , 9         , 0         ,
, 2002236304, GRE       ,           , Valerios Chatziliadis                 , 2         , 5         , 1         ,
, 2002236303, GRE       ,           , Mavroudis Avramopoulos                , 2         , 15        , 1         ,
, 2002236302, GRE       ,           , Thomas Bassios                        , 2         , 15        , 1         ,
, 2002236301, GRE       ,           , Alvertos Voilis                       , 2         , 5         , 1         ,
, 2002236300, GER       ,           , Jannick Weiß                          , 2         , 9         , 0         ,
, 2002236299, GER       ,           , Stefan Burkhard                       , 1         , 3         , 0         ,
, 2002236298, GER       , POL       , Robert Bartkowiak                     , 3         , 3         , 0         ,
, 2002236297, SUI       , GER       , Bruno Schluchter                      , 1         , 16        , 1         ,
, 2002236296, GER       ,           , Toni Otte                             , 2         , 3         , 0         ,
, 2002236295, GER       , TUR       , Ferdi Dağaşan                         , 1         , 2         , 0         ,
, 2002236294, GER       , ITA       , Diego Nencioni                        , 3         , 16        , 1         ,
, 2002236293, GER       ,           , Jules Brandt                          , 3         , 1         , 0         ,
, 2002236292, GER       ,           , Aleksandr Uuemäe                      , 1         , 11        , 0         ,
, 2002236291, GER       ,           , Götz Stoßberger                       , 1         , 11        , 0         ,
, 2002236290, GER       ,           , Arne Böcker                           , 2         , 2         , 0         ,
, 2002236289, GER       , TUR       , Mesut Demirci                         , 1         , 5         , 2         ,
, 2002236288, GER       , ITA       , Antonio Isola                         , 3         , 5         , 1         ,
, 2002236287, GER       ,           , Lukas Budschedl                       , 2         , 8         , 0         ,
, 2002236286, GER       , TUR       , Enes Şenol                            , 1         , 15        , 1         ,
, 2002236285, GER       ,           , Recep Koca                            , 1         , 11        , 1         ,
, 2002236284, GER       ,           , Lion Fensky                           , 1         , 9         , 0         ,
, 2002236283, FRA       ,           , Mathieu Raynaud                       , 2         , 2         , 0         ,
, 2002236282, CHA       ,           , Mathieu Masra                         , 1         , 5         , 3         ,
, 2002236281, FRA       ,           , Cédric Vallet                         , 3         , 4         , 0         ,
, 2002236280, FRA       ,           , Justin Rigal                          , 1         , 12        , 0         ,
, 2002236279, FRA       , COD       , Jonathan Shabani                      , 2         , 15        , 3         ,
, 2002236278, FRA       ,           , Boris Hue                             , 2         , 12        , 0         ,
, 2002236277, POR       ,           , Tomás Morais                          , 1         , 2         , 0         ,
, 2002236276, MAR       , BEL       , Walid Mrabet                          , 2         , 15        , 2         ,
, 2002236275, FRA       ,           , Sami Riviere                          , 1         , 8         , 0         ,
, 2002236274, CRO       ,           , Tonći Šmanjak                         , 1         , 13        , 0         ,
, 2002236273, CRO       ,           , Rino Malenica                         , 1         , 3         , 0         ,
, 2002236272, CRO       ,           , Vilibald Viduka                       , 1         , 15        , 0         ,
, 2002236271, CRO       ,           , Josip Čulina                          , 3         , 15        , 0         ,
, 2002236270, CRO       ,           , Boško Bosak                           , 1         , 7         , 0         ,
, 2002236269, AUS       , CRO       , Anthony Anderson                      , 3         , 15        , 1         ,
, 2002236268, CRO       ,           , Danijel Filipovic                     , 1         , 10        , 0         ,
, 2002236267, CRO       ,           , Erik Sostik                           , 1         , 3         , 0         ,
, 2002236266, CRO       ,           , Sreten Duduković                      , 1         , 16        , 0         ,
, 2002236265, BUL       ,           , Nikolay Mihaylov                      , 1         , 12        , 0         ,
, 2002236264, BUL       ,           , Hristo Bozhev                         , 1         , 3         , 1         ,
, 2002236263, BUL       ,           , Dobromir Mihaylov                     , 1         , 12        , 0         ,
, 2002236262, BUL       ,           , Krasimir Stoyanov                     , 1         , 10        , 0         ,
, 2002235691, SRB       ,           , Nikola Matić                          , 1         , 12        , 0         ,
, 2002235690, SRB       ,           , Vuk Simikić                           , 1         , 10        , 0         ,
, 2002235689, SRB       ,           , Blagoje Milošević                     , 2         , 12        , 0         ,
, 2002235688, SRB       ,           , Boris Mirčetić                        , 1         , 5         , 0         ,
, 2002235687, SRB       ,           , Slobodan Lukic                        , 1         , 8         , 0         ,
, 2002235686, SRB       ,           , Dejan Petrović                        , 2         , 8         , 0         ,
, 2002235685, SRB       ,           , Miloš Vasilić                         , 1         , 3         , 0         ,
, 2002235684, SRB       ,           , Jovica Simović                        , 1         , 11        , 0         ,
, 2002235683, SRB       ,           , Dragan Nikitović                      , 1         , 10        , 0         ,
, 2002235678, AUT       ,           , Fabian Koch                           , 1         , 15        , 0         ,
, 2002235677, AUT       ,           , Mario Schnabel                        , 2         , 2         , 0         ,
, 2002235676, AUT       ,           , Valentin Schumann                     , 3         , 1         , 0         ,
, 2002235675, AUT       ,           , Patrick Brendle                       , 3         , 3         , 0         ,
, 2002235674, AUT       ,           , Yannick Horn                          , 1         , 11        , 0         ,
, 2002235673, BIH       , AUT       , Edin Kurtovic                         , 1         , 11        , 0         ,
, 2002235672, AUT       ,           , Markus Abschinski                     , 1         , 1         , 0         ,
, 2002235283, MEX       ,           , Carlos Alberto Prado                  , 2         , 10        , 0         ,
, 2002235282, MEX       ,           , Efraín Vivia                          , 1         , 5         , 1         ,
, 2002235281, MEX       ,           , Narciso Von Hauke                     , 1         , 11        , 1         ,
, 2002235280, MEX       ,           , Francisco Vidal Guareño               , 2         , 16        , 1         ,
, 2002235279, MEX       ,           , Enrique Ogarrio                       , 3         , 3         , 0         ,
, 2002235278, MEX       ,           , Leopoldo Chacón                       , 2         , 4         , 0         ,
, 2002235136, RUS       ,           , Ivan Demin                            , 1         , 7         , 0         ,
, 2002235135, RUS       ,           , Hasan Belen'kov                       , 1         , 3         , 0         ,
, 2002235134, RUS       ,           , Maxim Trifonov                        , 1         , 11        , 0         ,
, 2002235133, RUS       ,           , Vitaly Yusupov                        , 1         , 10        , 0         ,
, 2002235132, RUS       ,           , Andrey Vaganov                        , 3         , 3         , 0         ,
, 2002235131, RUS       ,           , Ivan Yerofeev                         , 1         , 8         , 0         ,
, 2002233095, NOR       ,           , Jørgen Lie Jensen                     , 1         , 3         , 0         ,
, 2002233094, NOR       ,           , Øystein Corovic                       , 2         , 3         , 0         ,
, 2002233093, NOR       ,           , Per Joar Kusslid                      , 2         , 15        , 0         ,
, 2002233092, NOR       ,           , Leif Jostein Opphaug                  , 3         , 3         , 0         ,
, 2002233091, NOR       ,           , Sigurd Nordlie                        , 2         , 10        , 0         ,
, 2002233090, PHI       , NOR       , Alvin Elumba                          , 2         , 15        , 5         ,
, 2002232962, URU       ,           , Gonzalo Pérez                         , 2         , 5         , 1         ,
, 2002232961, URU       ,           , Jorge Colombo                         , 1         , 5         , 1         ,
, 2002232960, URU       ,           , Facundo Cáceres                       , 2         , 5         , 1         ,
